# trajectory_format = 1
# source = plan_move (TrajectoryGeneration GPMP2, free-space SDF)
# start_deg = 117.837 88.5689 344.29 19.2775 160.907 312.106 17.802
# goal = displacement(m,base) 1.57655e-06 -1.44397e-05 -4.57607e-05 orientation held
# duration_s = 8
# timesteps = 10
# final_error = 1.676010831e-09
# dh_config = /home/christian/Desktop/HumanSL_MAIN/config/dh_params.yaml
# ee_displacement_base_m = 1.223520691e-06 -1.452274764e-05 -4.558442861e-05 (norm 4.785757342e-05)
t_s,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,qd1_degs,qd2_degs,qd3_degs,qd4_degs,qd5_degs,qd6_degs,qd7_degs
0.049,117.8370003,88.56889882,-15.71000013,19.27750195,160.907,-47.89399928,17.80200022,1.171064797e-05,-4.821921496e-05,-5.430138918e-06,7.938618313e-05,-1.662115741e-06,2.92647456e-05,8.828945352e-06
0.05,117.8370003,88.56889877,-15.71000014,19.27750203,160.907,-47.89399925,17.80200023,1.194813299e-05,-4.919707217e-05,-5.540258929e-06,8.099608807e-05,-1.69582247e-06,2.985821737e-05,9.007991154e-06
0.051,117.8370003,88.56889872,-15.71000014,19.27750211,160.907,-47.89399922,17.80200023,1.218555791e-05,-5.017468186e-05,-5.650351067e-06,8.260558549e-05,-1.729520663e-06,3.045153891e-05,9.186991633e-06
0.052,117.8370003,88.56889867,-15.71000015,19.27750219,160.907,-47.89399919,17.80200024,1.24229227e-05,-5.115204402e-05,-5.760415329e-06,8.421467539e-05,-1.76321032e-06,3.104471023e-05,9.365946789e-06
0.053,117.8370003,88.56889862,-15.71000016,19.27750228,160.907,-47.89399916,17.80200025,1.266022739e-05,-5.212915867e-05,-5.870451716e-06,8.582335777e-05,-1.796891453e-06,3.163773131e-05,9.54485662e-06
0.054,117.8370003,88.56889856,-15.71000016,19.27750237,160.907,-47.89399913,17.80200026,1.289747196e-05,-5.310602577e-05,-5.98046023e-06,8.743163263e-05,-1.830564049e-06,3.223060217e-05,9.723721133e-06
0.055,117.8370004,88.56889851,-15.71000017,19.27750245,160.9069999,-47.8939991,17.80200027,1.313465641e-05,-5.408264536e-05,-6.090440864e-06,8.903949997e-05,-1.864228108e-06,3.282332281e-05,9.90254032e-06
0.056,117.8370004,88.56889845,-15.71000017,19.27750254,160.9069999,-47.89399906,17.80200028,1.337178075e-05,-5.505901741e-05,-6.200393627e-06,9.064695979e-05,-1.897883669e-06,3.341589321e-05,1.008131419e-05
0.057,117.8370004,88.5688984,-15.71000018,19.27750264,160.9069999,-47.89399903,17.80200029,1.360884497e-05,-5.603514193e-05,-6.310318517e-06,9.225401209e-05,-1.931530655e-06,3.400831339e-05,1.026004273e-05
0.058,117.8370004,88.56889834,-15.71000019,19.27750273,160.9069999,-47.89399899,17.8020003,1.384584909e-05,-5.701101893e-05,-6.420215527e-06,9.386065688e-05,-1.96516913e-06,3.460058334e-05,1.043872596e-05
0.059,117.8370004,88.56889829,-15.71000019,19.27750282,160.9069999,-47.89399896,17.80200031,1.408279307e-05,-5.79866484e-05,-6.530084667e-06,9.546689414e-05,-1.998799069e-06,3.519270307e-05,1.061736385e-05
