# trajectory_format = 1
# source = plan_move (TrajectoryGeneration GPMP2, free-space SDF)
# start_deg = 0 15 180 230 0 55 90
# goal = joints(deg) 0 15 180 234 0 59 90
# duration_s = 10
# timesteps = 10
# final_error = 5.845072818e-05
# dh_config = /home/christian/Desktop/HumanSL_MAIN/config/dh_params.yaml
# ee_displacement_base_m = 0.015012273 2.352699058e-09 -0.04904647973 (norm 0.05129254833)
t_s,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,qd1_degs,qd2_degs,qd3_degs,qd4_degs,qd5_degs,qd6_degs,qd7_degs
0.036,-2.044031719e-06,14.99999981,180.0000025,-129.9998449,2.863244333e-07,55.000155,89.99999917,-0.0001134087957,-1.050037188e-05,0.0001367911911,0.008608111381,1.588610825e-05,0.008599619125,-4.583733892e-05
0.037,-2.159009797e-06,14.9999998,180.0000026,-129.9998361,3.024303639e-07,55.00016371,89.99999913,-0.0001165472545,-1.079095768e-05,0.000140576731,0.008846331026,1.632573814e-05,0.008837603756,-4.710583489e-05
0.038,-2.277126017e-06,14.99999979,180.0000027,-129.9998272,3.189758801e-07,55.00017267,89.99999908,-0.000119685081,-1.108148492e-05,0.0001443615082,0.009084502676,1.676527946e-05,0.00907554044,-4.83740753e-05
0.039,-2.398379748e-06,14.99999978,180.0000029,-129.999818,3.359608933e-07,55.00018187,89.99999903,-0.0001228222752,-1.137195363e-05,0.0001481455227,0.009322626333,1.720473221e-05,0.009313429178,-4.964206013e-05
0.04,-2.522770357e-06,14.99999977,180.000003,-129.9998085,3.53385315e-07,55.0001913,89.99999898,-0.0001259588371,-1.166236378e-05,0.0001519287745,0.009560701995,1.764409638e-05,0.009551269968,-5.090978941e-05
0.041,-2.650297211e-06,14.99999975,180.0000032,-129.9997988,3.712490565e-07,55.00020097,89.99999893,-0.0001290947667,-1.19527154e-05,0.0001557112637,0.009798729662,1.808337198e-05,0.009789062812,-5.217726313e-05
0.042,-2.780959679e-06,14.99999974,180.0000034,-129.9997889,3.895520294e-07,55.00021088,89.99999888,-0.0001322300639,-1.224300847e-05,0.0001594929902,0.01003670934,1.852255901e-05,0.01002680771,-5.344448127e-05
0.043,-2.914757128e-06,14.99999973,180.0000035,-129.9997788,4.08294145e-07,55.00022102,89.99999882,-0.0001353647289,-1.253324299e-05,0.0001632739541,0.01027464101,1.896165746e-05,0.01026450466,-5.471144385e-05
0.044,-3.051688926e-06,14.99999972,180.0000037,-129.9997684,4.274753148e-07,55.00023141,89.99999877,-0.0001384987616,-1.282341897e-05,0.0001670541552,0.0105125247,1.940066735e-05,0.01050215366,-5.597815087e-05
0.045,-3.191754441e-06,14.9999997,180.0000038,-129.9997577,4.470954502e-07,55.00024203,89.99999871,-0.0001416321619,-1.311353641e-05,0.0001708335937,0.01075036039,1.983958866e-05,0.01073975472,-5.724460232e-05
